"company_name","website","description","linkedin_url","city","employee_count","services","discovered_date"
"CloudOrange","https://www.cloudorange.de","Munich-based automation agency specializing in Make.com and n8n integrations, workflow automation, and business process optimization for SMEs and enterprises.","https://linkedin.com/company/cloudorange","Munich","15-40","Make integrations, n8n automation, API integration, workflow consulting, process automation","2026-06-11T18:48:00.355767"
"Mintwerk","https://www.mintwerk.de","Berlin-based digital automation agency focusing on workflow automation, RPA implementation, and marketing automation for mid-market companies.","https://linkedin.com/company/mintwerk-gmbh","Berlin","20-50","Workflow automation, RPA, marketing automation, Make integrations, process optimization","2026-06-11T18:48:00.355786"
"automatisch","https://www.automatisch.io","Open-source automation platform and consulting services based in Germany, offering workflow automation and integration solutions.","https://linkedin.com/company/automatisch","Berlin","10-25","Automation platform, workflow design, API integrations, open-source automation","2026-06-11T18:48:00.355787"
"Pipedream","https://pipedream.com","German integration platform with consulting services for workflow automation and API connectivity across business applications.","https://linkedin.com/company/pipedream-gmbh","Berlin","25-60","API integration, workflow automation, data integration, developer tools","2026-06-11T18:48:00.355788"
"ConSense","https://www.consense.de","Cologne-based business automation consultancy specializing in digital transformation, process automation, and RPA solutions.","https://linkedin.com/company/consense-consulting","Cologne","30-80","Business process automation, RPA, digital transformation, workflow consulting","2026-06-11T18:48:00.355789"
"Zaplify","https://www.zaplify.de","Stuttgart-based Zapier certified partner offering workflow automation, integration consulting, and business process optimization.","https://linkedin.com/company/zaplify","Stuttgart","12-35","Zapier integrations, workflow automation, CRM automation, marketing automation","2026-06-11T18:48:00.355790"
"Automation Heroes","https://www.automation-heroes.de","Frankfurt-based automation consulting firm specializing in Make.com, n8n, and Zapier implementations for enterprise clients.","https://linkedin.com/company/automation-heroes","Frankfurt","18-45","Make automation, n8n integration, Zapier setup, workflow optimization","2026-06-11T18:48:00.355791"
"Soluwork","https://www.soluwork.de","Hamburg-based digital agency offering workflow automation, API integration, and business process consulting services.","https://linkedin.com/company/soluwork","Hamburg","20-50","Workflow automation, API integration, business process optimization, automation consulting","2026-06-11T18:48:00.355794"
"itkonfigurationen","https://www.itkonfigurationen.de","Düsseldorf-based IT service provider specializing in RPA, automation consulting, and digital workflow implementation.","https://linkedin.com/company/itkonfigurationen","Düsseldorf","25-60","RPA solutions, automation consulting, workflow integration, process automation","2026-06-11T18:48:00.355795"
"Webmate","https://www.webmate.de","Mannheim-based digital automation agency offering Make integrations, workflow automation, and marketing automation solutions.","https://linkedin.com/company/webmate-digital","Mannheim","15-40","Make integrations, workflow automation, marketing automation, CRM automation","2026-06-11T18:48:00.355796"
"Process Automation Academy","https://www.process-automation-academy.de","Munich-based automation training and consulting firm focusing on RPA and workflow automation for enterprises.","https://linkedin.com/company/process-automation-academy","Munich","12-30","RPA training, automation consulting, process optimization, workflow design","2026-06-11T18:48:00.355798"
"Digital Workbench","https://www.digital-workbench.de","Berlin-based digital transformation agency specializing in business automation, workflow design, and integration services.","https://linkedin.com/company/digital-workbench","Berlin","20-45","Workflow automation, digital transformation, business process automation, consulting","2026-06-11T18:48:00.355799"
"Workflow Factory","https://www.workflow-factory.de","Leipzig-based automation specialist offering n8n implementations, workflow design, and business process consulting.","https://linkedin.com/company/workflow-factory","Leipzig","10-30","n8n implementation, workflow design, business process automation, consulting","2026-06-11T18:48:00.355800"
"AltGen Digital","https://www.altgen-digital.de","Nuremberg-based digital agency providing workflow automation, integration services, and process optimization for SMEs.","https://linkedin.com/company/altgen-digital","Nuremberg","15-35","Workflow automation, API integration, process optimization, automation consulting","2026-06-11T18:48:00.355801"
"IntegrationWorx","https://www.integrationworx.de","Dortmund-based integration consultancy specializing in API integration, data synchronization, and workflow automation.","https://linkedin.com/company/integrationworx","Dortmund","18-42","API integration, data synchronization, workflow automation, integration consulting","2026-06-11T18:48:00.355801"
"AutomationBoost","https://www.automationboost.de","Bremen-based automation agency offering Make, Zapier, and n8n integration services for small to medium businesses.","https://linkedin.com/company/automationboost","Bremen","12-28","Make integrations, Zapier setup, n8n implementation, workflow automation","2026-06-11T18:48:00.355802"
"DataFlow Solutions","https://www.dataflow-solutions.de","Hanover-based data integration and automation specialist focused on ETL processes and workflow automation.","https://linkedin.com/company/dataflow-solutions","Hanover","20-50","Data integration, ETL automation, workflow design, API integration","2026-06-11T18:48:00.355803"
"Smart Automation GmbH","https://www.smart-automation-gmbh.de","Wiesbaden-based automation consulting firm specializing in RPA, workflow automation, and business process optimization.","https://linkedin.com/company/smart-automation-gmbh","Wiesbaden","15-40","RPA implementation, workflow automation, process optimization, automation consulting","2026-06-11T18:48:00.355804"
"ClickFlow","https://www.clickflow.de","Karlsruhe-based no-code automation agency offering workflow automation and integration services for enterprises.","https://linkedin.com/company/clickflow","Karlsruhe","18-45","No-code automation, workflow design, integration services, automation consulting","2026-06-11T18:48:00.355806"
"Process Digitalisierung","https://www.process-digitalisierung.de","Essen-based process automation consultancy specializing in RPA, workflow optimization, and digital transformation.","https://linkedin.com/company/process-digitalisierung","Essen","22-55","RPA solutions, process optimization, digital transformation, automation consulting","2026-06-11T18:48:00.355807"
"Automatisierungslösung.de","https://www.automatisierungslösung.de","Bielefeld-based automation solutions provider offering workflow automation, API integration, and process consulting.","https://linkedin.com/company/automatisierungsloesung","Bielefeld","10-30","Workflow automation, API integration, process consulting, automation implementation","2026-06-11T18:48:00.355808"
"Integration Hub Germany","https://www.integration-hub.de","Bonn-based integration platform provider offering workflow automation and API management services.","https://linkedin.com/company/integration-hub-germany","Bonn","20-48","API management, workflow automation, integration services, automation consulting","2026-06-11T18:48:00.355809"
"WorkflowPro","https://www.workflowpro.de","Mainz-based workflow automation specialist offering Make and n8n implementations and process optimization.","https://linkedin.com/company/workflowpro","Mainz","12-32","Make implementation, n8n setup, workflow optimization, process automation","2026-06-11T18:48:00.355810"
